user_id,nama_lengkap,email,kota,account_tier,signup_timestamp
USR-0031,Andi Utami,user_0031@nusantaratech.io,Jakarta,Platinum,2025-11-11 03:26:00
USR-0032,Dewi Wijaya,user_0032@nusantaratech.io,Surabaya,Silver,2025-02-15 15:25:00
USR-0033,Dewi Kusuma,user_0033@nusantaratech.io,Makassar,Standard,2025-04-01 06:21:00
USR-0034,Rini Prabowo,user_0034@nusantaratech.io,Semarang,Standard,2025-02-28 18:54:00
USR-0035,Siti Wijaya,user_0035@nusantaratech.io,Medan,Gold,2025-08-10 13:10:00
USR-0036,Agus Hidayat,user_0036@nusantaratech.io,Yogyakarta,Platinum,2025-08-17 10:27:00
USR-0037,Joko Utami,user_0037@nusantaratech.io,Surabaya,Standard,2025-07-09 22:58:00
USR-0038,Eko Prabowo,user_0038@nusantaratech.io,Yogyakarta,Gold,2025-08-19 00:36:00
USR-0039,Agus Hidayat,user_0039@nusantaratech.io,Semarang,Platinum,2025-12-06 22:12:00
USR-0040,Dewi Santoso,user_0040@nusantaratech.io,Jakarta,Platinum,2025-06-28 08:40:00
USR-0041,Rini Santoso,user_0041@nusantaratech.io,Yogyakarta,Gold,2025-11-25 15:34:00
USR-0042,Dewi Siregar,user_0042@nusantaratech.io,Makassar,Platinum,2025-08-31 16:17:00
USR-0043,Andi Lestari,user_0043@nusantaratech.io,Surabaya,Standard,2025-07-08 03:36:00
USR-0044,Rini Kusuma,user_0044@nusantaratech.io,Makassar,Gold,2025-06-16 14:51:00
USR-0045,Rini Utami,user_0045@nusantaratech.io,Jakarta,Standard,2025-06-16 09:49:00
USR-0046,Eko Utami,user_0046@nusantaratech.io,Semarang,Gold,2025-05-23 09:21:00
USR-0047,Joko Prabowo,user_0047@nusantaratech.io,Jakarta,Silver,2025-10-17 15:53:00
USR-0048,Joko Hidayat,user_0048@nusantaratech.io,Yogyakarta,Standard,2025-02-17 07:48:00
USR-0049,Agus Prabowo,user_0049@nusantaratech.io,Surabaya,Silver,2025-06-24 23:55:00
USR-0050,Mega Siregar,user_0050@nusantaratech.io,Jakarta,Gold,2025-06-28 03:08:00
USR-0051,Mega Siregar,user_0051@nusantaratech.io,Bandung,Platinum,2025-03-15 23:30:00
USR-0052,Dewi Hidayat,user_0052@nusantaratech.io,Makassar,Silver,2025-11-16 16:17:00
USR-0053,Joko Utami,user_0053@nusantaratech.io,Jakarta,Gold,2025-11-16 06:53:00
USR-0054,Siti Santoso,user_0054@nusantaratech.io,Jakarta,Silver,2025-05-25 15:01:00
USR-0055,Siti Wijaya,user_0055@nusantaratech.io,Semarang,Standard,2025-08-25 20:57:00
USR-0056,Joko Siregar,user_0056@nusantaratech.io,Bandung,Gold,2025-08-07 20:19:00
USR-0057,Mega Lestari,user_0057@nusantaratech.io,Makassar,Gold,2025-04-30 07:49:00
USR-0058,Eko Siregar,user_0058@nusantaratech.io,Medan,Platinum,2025-07-08 18:36:00
USR-0059,Mega Utami,user_0059@nusantaratech.io,Bandung,Gold,2025-11-01 20:14:00
USR-0060,Agus Prabowo,user_0060@nusantaratech.io,Bandung,Standard,2025-05-21 11:23:00
USR-0061,Agus Santoso,user_0061@nusantaratech.io,Makassar,Gold,2025-05-17 15:29:00
USR-0062,Siti Prabowo,user_0062@nusantaratech.io,Semarang,Gold,2025-06-04 23:25:00
USR-0063,Dewi Lestari,user_0063@nusantaratech.io,Bandung,Standard,2025-12-05 19:19:00
USR-0064,Andi Siregar,user_0064@nusantaratech.io,Makassar,Silver,2025-09-03 12:11:00
USR-0065,Joko Utami,user_0065@nusantaratech.io,Semarang,Silver,2025-07-02 18:00:00
USR-0066,Budi Prabowo,user_0066@nusantaratech.io,Bandung,Standard,2025-06-03 09:24:00
USR-0067,Agus Wijaya,user_0067@nusantaratech.io,Makassar,Silver,2025-01-17 03:27:00
USR-0068,Agus Lestari,user_0068@nusantaratech.io,Semarang,Gold,2025-01-17 21:00:00
USR-0069,Andi Hidayat,user_0069@nusantaratech.io,Makassar,Gold,2025-11-21 12:01:00
USR-0070,Joko Kusuma,user_0070@nusantaratech.io,Medan,Gold,2025-08-31 07:51:00
USR-0071,Joko Santoso,user_0071@nusantaratech.io,Semarang,Gold,2025-07-10 12:09:00
USR-0072,Mega Kusuma,user_0072@nusantaratech.io,Jakarta,Gold,2025-10-28 05:15:00
USR-0073,Rina Santoso,user_0073@nusantaratech.io,Yogyakarta,Standard,2025-12-25 17:48:00
USR-0074,Siti Kusuma,user_0074@nusantaratech.io,Semarang,Gold,2025-06-14 07:04:00
USR-0075,Andi Hidayat,user_0075@nusantaratech.io,Makassar,Silver,2025-09-19 17:36:00
USR-0076,Budi Hidayat,user_0076@nusantaratech.io,Surabaya,Standard,2025-02-04 00:24:00
USR-0077,Mega Lestari,user_0077@nusantaratech.io,Semarang,Silver,2025-07-30 08:38:00
USR-0078,Siti Utami,user_0078@nusantaratech.io,Medan,Gold,2025-07-03 19:52:00
USR-0079,Siti Wijaya,user_0079@nusantaratech.io,Semarang,Gold,2025-03-25 10:31:00
USR-0080,Joko Utami,user_0080@nusantaratech.io,Semarang,Platinum,2025-11-13 12:48:00
USR-0081,Agus Wijaya,user_0081@nusantaratech.io,Medan,Platinum,2025-04-03 21:27:00
USR-0082,Andi Siregar,user_0082@nusantaratech.io,Jakarta,Gold,2025-04-05 16:10:00
USR-0083,Rini Hidayat,user_0083@nusantaratech.io,Bandung,Silver,2025-11-30 20:34:00
USR-0084,Andi Siregar,user_0084@nusantaratech.io,Yogyakarta,Standard,2025-07-29 11:28:00
USR-0085,Dewi Utami,user_0085@nusantaratech.io,Bandung,Silver,2025-01-10 17:06:00
USR-0086,Agus Utami,user_0086@nusantaratech.io,Makassar,Silver,2025-03-31 19:12:00
USR-0087,Siti Hidayat,user_0087@nusantaratech.io,Medan,Silver,2025-01-09 19:06:00
USR-0088,Rini Lestari,user_0088@nusantaratech.io,Makassar,Silver,2025-07-28 21:24:00
USR-0089,Dewi Santoso,user_0089@nusantaratech.io,Surabaya,Standard,2025-04-04 11:53:00
USR-0090,Mega Hidayat,user_0090@nusantaratech.io,Semarang,Platinum,2025-07-20 16:38:00
USR-0091,Mega Hidayat,user_0091@nusantaratech.io,Bandung,Platinum,2025-07-17 18:46:00
USR-0092,Budi Lestari,user_0092@nusantaratech.io,Makassar,Standard,2025-01-22 04:55:00
USR-0093,Budi Hidayat,user_0093@nusantaratech.io,Makassar,Standard,2025-09-18 21:53:00
USR-0094,Siti Santoso,user_0094@nusantaratech.io,Medan,Silver,2025-09-01 22:39:00
USR-0095,Dewi Lestari,user_0095@nusantaratech.io,Surabaya,Standard,2025-12-06 23:30:00
USR-0096,Agus Hidayat,user_0096@nusantaratech.io,Surabaya,Platinum,2025-11-14 01:11:00
USR-0097,Andi Utami,user_0097@nusantaratech.io,Makassar,Gold,2025-07-09 15:49:00
USR-0098,Rini Wijaya,user_0098@nusantaratech.io,Surabaya,Gold,2025-01-18 00:58:00
USR-0099,Mega Utami,user_0099@nusantaratech.io,Yogyakarta,Gold,2025-05-21 01:04:00
USR-0100,Rini Utami,user_0100@nusantaratech.io,Surabaya,Silver,2025-12-08 03:14:00
USR-0101,Eko Hidayat,user_0101@nusantaratech.io,Medan,Platinum,2025-04-07 15:42:00
USR-0102,Siti Lestari,user_0102@nusantaratech.io,Yogyakarta,Gold,2025-11-25 03:25:00
USR-0103,Eko Kusuma,user_0103@nusantaratech.io,Semarang,Silver,2025-04-20 22:58:00
USR-0104,Eko Siregar,user_0104@nusantaratech.io,Medan,Gold,2025-05-08 19:44:00
USR-0105,Rina Santoso,user_0105@nusantaratech.io,Yogyakarta,Standard,2025-05-29 15:00:00
USR-0106,Siti Santoso,user_0106@nusantaratech.io,Semarang,Standard,2025-03-24 18:16:00
USR-0107,Eko Kusuma,user_0107@nusantaratech.io,Surabaya,Silver,2025-06-01 11:26:00
USR-0108,Siti Hidayat,user_0108@nusantaratech.io,Makassar,Silver,2025-06-02 01:29:00
USR-0109,Rini Hidayat,user_0109@nusantaratech.io,Bandung,Silver,2025-03-27 00:09:00
USR-0110,Agus Utami,user_0110@nusantaratech.io,Makassar,Silver,2025-06-26 02:58:00
USR-0111,Joko Siregar,user_0111@nusantaratech.io,Makassar,Gold,2025-02-04 17:35:00
USR-0112,Joko Prabowo,user_0112@nusantaratech.io,Bandung,Silver,2025-03-26 18:56:00
USR-0113,Rina Hidayat,user_0113@nusantaratech.io,Medan,Silver,2025-05-09 17:00:00
USR-0114,Siti Utami,user_0114@nusantaratech.io,Yogyakarta,Silver,2025-03-18 20:47:00
USR-0115,Agus Lestari,user_0115@nusantaratech.io,Makassar,Standard,2025-10-13 15:57:00
USR-0116,Budi Santoso,user_0116@nusantaratech.io,Semarang,Platinum,2025-03-15 12:38:00
USR-0117,Siti Hidayat,user_0117@nusantaratech.io,Surabaya,Standard,2025-05-18 16:46:00
USR-0118,Joko Siregar,user_0118@nusantaratech.io,Surabaya,Standard,2025-04-25 12:19:00
USR-0119,Rina Utami,user_0119@nusantaratech.io,Medan,Standard,2025-08-14 12:47:00
USR-0120,Rini Siregar,user_0120@nusantaratech.io,Medan,Platinum,2025-09-21 21:09:00
USR-0121,Budi Wijaya,user_0121@nusantaratech.io,Medan,Platinum,2025-10-16 13:15:00
USR-0122,Eko Santoso,user_0122@nusantaratech.io,Jakarta,Standard,2025-01-31 06:25:00
USR-0123,Eko Prabowo,user_0123@nusantaratech.io,Semarang,Silver,2025-09-15 21:29:00
USR-0124,Rina Prabowo,user_0124@nusantaratech.io,Jakarta,Standard,2025-02-14 11:24:00
USR-0125,Eko Utami,user_0125@nusantaratech.io,Surabaya,Standard,2025-11-04 03:36:00
USR-0126,Joko Hidayat,user_0126@nusantaratech.io,Makassar,Standard,2025-03-18 01:56:00
USR-0127,Andi Hidayat,user_0127@nusantaratech.io,Jakarta,Platinum,2025-05-20 01:15:00
USR-0128,Budi Santoso,user_0128@nusantaratech.io,Makassar,Standard,2025-01-19 00:19:00
USR-0129,Dewi Santoso,user_0129@nusantaratech.io,Bandung,Gold,2025-04-17 04:26:00
USR-0130,Budi Utami,user_0130@nusantaratech.io,Surabaya,Standard,2025-07-20 04:09:00
USR-0131,Agus Wijaya,user_0131@nusantaratech.io,Jakarta,Standard,2025-02-22 14:46:00
USR-0132,Budi Lestari,user_0132@nusantaratech.io,Surabaya,Gold,2025-10-11 23:23:00
USR-0133,Joko Lestari,user_0133@nusantaratech.io,Bandung,Standard,2025-10-16 07:52:00
USR-0134,Mega Lestari,user_0134@nusantaratech.io,Bandung,Standard,2025-09-26 22:21:00
USR-0135,Rini Siregar,user_0135@nusantaratech.io,Yogyakarta,Standard,2025-11-12 16:29:00
USR-0136,Siti Hidayat,user_0136@nusantaratech.io,Surabaya,Silver,2025-04-06 17:28:00
USR-0137,Mega Santoso,user_0137@nusantaratech.io,Jakarta,Silver,2025-03-30 20:28:00
USR-0138,Mega Lestari,user_0138@nusantaratech.io,Yogyakarta,Silver,2025-10-07 15:30:00
USR-0139,Eko Kusuma,user_0139@nusantaratech.io,Yogyakarta,Gold,2025-12-13 13:26:00
USR-0140,Andi Hidayat,user_0140@nusantaratech.io,Semarang,Standard,2025-11-10 09:09:00
USR-0141,Dewi Hidayat,user_0141@nusantaratech.io,Yogyakarta,Standard,2025-01-16 05:59:00
USR-0142,Andi Siregar,user_0142@nusantaratech.io,Surabaya,Silver,2025-06-08 17:36:00
USR-0143,Joko Prabowo,user_0143@nusantaratech.io,Makassar,Gold,2025-04-26 03:58:00
USR-0144,Rina Kusuma,user_0144@nusantaratech.io,Makassar,Gold,2025-08-22 02:34:00
USR-0145,Siti Santoso,user_0145@nusantaratech.io,Makassar,Gold,2025-02-12 10:07:00
USR-0146,Rina Lestari,user_0146@nusantaratech.io,Makassar,Silver,2025-03-24 06:11:00
USR-0147,Siti Hidayat,user_0147@nusantaratech.io,Makassar,Silver,2025-11-07 20:00:00
USR-0148,Agus Prabowo,user_0148@nusantaratech.io,Bandung,Standard,2025-11-02 09:52:00
USR-0149,Joko Kusuma,user_0149@nusantaratech.io,Jakarta,Standard,2025-01-28 07:53:00
USR-0150,Siti Hidayat,user_0150@nusantaratech.io,Jakarta,Standard,2025-05-15 01:55:00
USR-0151,Dewi Prabowo,user_0151@nusantaratech.io,Medan,Silver,2025-05-29 19:23:00
USR-0152,Joko Utami,user_0152@nusantaratech.io,Surabaya,Silver,2025-08-07 15:57:00
USR-0153,Agus Prabowo,user_0153@nusantaratech.io,Bandung,Gold,2025-02-15 08:38:00
USR-0154,Mega Santoso,user_0154@nusantaratech.io,Bandung,Silver,2025-12-02 04:50:00
USR-0155,Agus Prabowo,user_0155@nusantaratech.io,Surabaya,Standard,2025-10-17 12:00:00
USR-0156,Siti Wijaya,user_0156@nusantaratech.io,Surabaya,Standard,2025-03-06 18:24:00
USR-0157,Andi Lestari,user_0157@nusantaratech.io,Makassar,Silver,2025-06-06 10:41:00
USR-0158,Siti Wijaya,user_0158@nusantaratech.io,Bandung,Platinum,2025-10-01 15:50:00
USR-0159,Andi Prabowo,user_0159@nusantaratech.io,Bandung,Gold,2025-09-02 14:28:00
USR-0160,Mega Hidayat,user_0160@nusantaratech.io,Surabaya,Silver,2025-10-27 21:19:00
USR-0161,Dewi Hidayat,user_0161@nusantaratech.io,Yogyakarta,Platinum,2025-07-07 04:16:00
USR-0162,Andi Utami,user_0162@nusantaratech.io,Surabaya,Standard,2025-08-09 17:04:00
USR-0163,Andi Santoso,user_0163@nusantaratech.io,Jakarta,Silver,2025-06-28 18:26:00
USR-0164,Siti Siregar,user_0164@nusantaratech.io,Makassar,Gold,2025-05-04 11:09:00
USR-0165,Andi Santoso,user_0165@nusantaratech.io,Medan,Platinum,2025-12-23 08:33:00
USR-0166,Budi Kusuma,user_0166@nusantaratech.io,Makassar,Platinum,2025-03-29 06:17:00
USR-0167,Joko Prabowo,user_0167@nusantaratech.io,Bandung,Silver,2025-06-13 07:27:00
USR-0168,Joko Utami,user_0168@nusantaratech.io,Semarang,Silver,2025-11-30 19:11:00
USR-0169,Agus Siregar,user_0169@nusantaratech.io,Jakarta,Platinum,2025-02-18 22:27:00
USR-0170,Agus Santoso,user_0170@nusantaratech.io,Semarang,Standard,2025-05-08 14:14:00
USR-0171,Siti Lestari,user_0171@nusantaratech.io,Surabaya,Gold,2025-03-18 05:11:00
USR-0172,Joko Santoso,user_0172@nusantaratech.io,Yogyakarta,Standard,2025-09-22 14:50:00
USR-0173,Dewi Wijaya,user_0173@nusantaratech.io,Medan,Platinum,2025-11-17 04:39:00
USR-0174,Eko Wijaya,user_0174@nusantaratech.io,Bandung,Standard,2025-09-13 20:52:00
USR-0175,Budi Prabowo,user_0175@nusantaratech.io,Medan,Silver,2025-03-15 16:01:00
USR-0176,Dewi Santoso,user_0176@nusantaratech.io,Yogyakarta,Platinum,2025-03-18 10:38:00
USR-0177,Dewi Hidayat,user_0177@nusantaratech.io,Semarang,Gold,2025-01-16 17:51:00
USR-0178,Rini Lestari,user_0178@nusantaratech.io,Semarang,Gold,2025-10-18 13:20:00
USR-0179,Dewi Siregar,user_0179@nusantaratech.io,Makassar,Standard,2025-09-04 21:28:00
USR-0180,Mega Wijaya,user_0180@nusantaratech.io,Yogyakarta,Standard,2025-02-05 21:03:00
USR-0181,Rini Wijaya,user_0181@nusantaratech.io,Jakarta,Gold,2025-01-11 21:48:00
USR-0182,Joko Siregar,user_0182@nusantaratech.io,Makassar,Platinum,2025-08-05 15:15:00
USR-0183,Budi Wijaya,user_0183@nusantaratech.io,Semarang,Standard,2025-04-03 23:23:00
USR-0184,Dewi Siregar,user_0184@nusantaratech.io,Surabaya,Platinum,2025-08-10 02:34:00
USR-0185,Rini Prabowo,user_0185@nusantaratech.io,Jakarta,Gold,2025-03-20 03:47:00
USR-0186,Joko Lestari,user_0186@nusantaratech.io,Semarang,Platinum,2025-04-09 22:43:00
USR-0187,Eko Santoso,user_0187@nusantaratech.io,Yogyakarta,Gold,2025-05-30 04:35:00
USR-0188,Rina Hidayat,user_0188@nusantaratech.io,Makassar,Platinum,2025-10-07 02:16:00
USR-0189,Rini Utami,user_0189@nusantaratech.io,Medan,Silver,2025-02-28 22:56:00
USR-0190,Dewi Prabowo,user_0190@nusantaratech.io,Jakarta,Platinum,2025-11-28 07:35:00
USR-0191,Rini Hidayat,user_0191@nusantaratech.io,Yogyakarta,Gold,2025-02-19 12:15:00
USR-0192,Budi Hidayat,user_0192@nusantaratech.io,Jakarta,Platinum,2025-07-09 18:15:00
USR-0193,Eko Kusuma,user_0193@nusantaratech.io,Yogyakarta,Silver,2025-07-28 02:08:00
USR-0194,Andi Lestari,user_0194@nusantaratech.io,Surabaya,Standard,2025-01-06 15:55:00
USR-0195,Andi Kusuma,user_0195@nusantaratech.io,Surabaya,Platinum,2025-11-21 05:12:00
USR-0196,Agus Siregar,user_0196@nusantaratech.io,Yogyakarta,Gold,2025-09-18 05:05:00
USR-0197,Agus Kusuma,user_0197@nusantaratech.io,Medan,Silver,2025-04-13 13:58:00
USR-0198,Budi Lestari,user_0198@nusantaratech.io,Medan,Standard,2025-08-03 13:47:00
USR-0199,Andi Wijaya,user_0199@nusantaratech.io,Yogyakarta,Platinum,2025-09-07 03:05:00
USR-0200,Mega Prabowo,user_0200@nusantaratech.io,Jakarta,Standard,2025-03-16 15:52:00
USR-0201,Budi Lestari,user_0201@nusantaratech.io,Yogyakarta,Platinum,2025-04-13 09:23:00
USR-0202,Mega Siregar,user_0202@nusantaratech.io,Yogyakarta,Platinum,2025-11-23 19:07:00
USR-0203,Dewi Kusuma,user_0203@nusantaratech.io,Bandung,Standard,2025-09-17 10:56:00
USR-0204,Eko Lestari,user_0204@nusantaratech.io,Semarang,Standard,2025-09-12 01:51:00
USR-0205,Eko Hidayat,user_0205@nusantaratech.io,Semarang,Silver,2025-09-18 10:37:00
USR-0206,Andi Santoso,user_0206@nusantaratech.io,Yogyakarta,Platinum,2025-03-23 19:16:00
USR-0207,Eko Santoso,user_0207@nusantaratech.io,Makassar,Platinum,2025-07-22 18:39:00
USR-0208,Agus Hidayat,user_0208@nusantaratech.io,Jakarta,Standard,2025-05-14 16:26:00
USR-0209,Dewi Siregar,user_0209@nusantaratech.io,Semarang,Silver,2025-07-07 04:24:00
USR-0210,Siti Kusuma,user_0210@nusantaratech.io,Yogyakarta,Standard,2025-09-21 21:22:00
USR-0211,Mega Kusuma,user_0211@nusantaratech.io,Semarang,Gold,2025-09-27 14:15:00
USR-0212,Siti Prabowo,user_0212@nusantaratech.io,Medan,Silver,2025-08-12 01:04:00
USR-0213,Agus Prabowo,user_0213@nusantaratech.io,Jakarta,Gold,2025-10-21 09:55:00
USR-0214,Eko Kusuma,user_0214@nusantaratech.io,Surabaya,Silver,2025-09-20 20:00:00
USR-0215,Eko Prabowo,user_0215@nusantaratech.io,Makassar,Platinum,2025-01-23 17:11:00
USR-0216,Agus Wijaya,user_0216@nusantaratech.io,Jakarta,Standard,2025-12-15 00:37:00
USR-0217,Rini Siregar,user_0217@nusantaratech.io,Surabaya,Silver,2025-05-09 01:43:00
USR-0218,Eko Wijaya,user_0218@nusantaratech.io,Makassar,Platinum,2025-12-25 13:49:00
USR-0219,Mega Prabowo,user_0219@nusantaratech.io,Makassar,Platinum,2025-04-03 13:12:00
USR-0220,Eko Santoso,user_0220@nusantaratech.io,Bandung,Gold,2025-02-23 19:45:00
USR-0221,Andi Prabowo,user_0221@nusantaratech.io,Surabaya,Gold,2025-01-02 23:49:00
USR-0222,Rini Siregar,user_0222@nusantaratech.io,Makassar,Platinum,2025-11-12 12:31:00
USR-0223,Mega Kusuma,user_0223@nusantaratech.io,Semarang,Gold,2025-08-05 20:12:00
USR-0224,Rina Utami,user_0224@nusantaratech.io,Bandung,Platinum,2025-03-04 16:32:00
USR-0225,Rina Hidayat,user_0225@nusantaratech.io,Bandung,Platinum,2025-01-27 17:07:00
USR-0226,Agus Utami,user_0226@nusantaratech.io,Jakarta,Platinum,2025-11-30 08:47:00
USR-0227,Joko Lestari,user_0227@nusantaratech.io,Semarang,Gold,2025-02-10 21:11:00
USR-0228,Andi Kusuma,user_0228@nusantaratech.io,Semarang,Silver,2025-03-31 03:51:00
USR-0229,Siti Hidayat,user_0229@nusantaratech.io,Medan,Platinum,2025-11-02 03:50:00
USR-0230,Andi Hidayat,user_0230@nusantaratech.io,Medan,Standard,2025-06-28 06:07:00
USR-0231,Rini Wijaya,user_0231@nusantaratech.io,Yogyakarta,Standard,2025-03-16 14:50:00
USR-0232,Budi Santoso,user_0232@nusantaratech.io,Makassar,Gold,2025-04-30 08:50:00
USR-0233,Rini Utami,user_0233@nusantaratech.io,Makassar,Platinum,2025-11-01 16:21:00
USR-0234,Mega Lestari,user_0234@nusantaratech.io,Makassar,Platinum,2025-07-15 19:34:00
USR-0235,Rina Siregar,user_0235@nusantaratech.io,Jakarta,Silver,2025-10-05 20:29:00
USR-0236,Mega Hidayat,user_0236@nusantaratech.io,Bandung,Silver,2025-03-22 19:41:00
USR-0237,Eko Utami,user_0237@nusantaratech.io,Medan,Standard,2025-11-25 13:25:00
USR-0238,Eko Hidayat,user_0238@nusantaratech.io,Surabaya,Standard,2025-04-04 09:48:00
USR-0239,Joko Santoso,user_0239@nusantaratech.io,Yogyakarta,Standard,2025-10-05 03:51:00
USR-0240,Siti Siregar,user_0240@nusantaratech.io,Medan,Standard,2025-04-15 17:30:00
USR-0241,Rini Wijaya,user_0241@nusantaratech.io,Bandung,Platinum,2025-07-23 09:30:00
USR-0242,Agus Utami,user_0242@nusantaratech.io,Bandung,Standard,2025-09-08 00:32:00
USR-0243,Budi Hidayat,user_0243@nusantaratech.io,Surabaya,Silver,2025-09-14 15:59:00
USR-0244,Siti Utami,user_0244@nusantaratech.io,Jakarta,Platinum,2025-04-30 07:56:00
USR-0245,Joko Utami,user_0245@nusantaratech.io,Medan,Gold,2025-02-01 17:54:00
USR-0246,Agus Kusuma,user_0246@nusantaratech.io,Makassar,Silver,2025-11-21 06:40:00
USR-0247,Rina Siregar,user_0247@nusantaratech.io,Semarang,Gold,2025-03-28 04:43:00
USR-0248,Agus Utami,user_0248@nusantaratech.io,Jakarta,Standard,2025-08-01 05:48:00
USR-0249,Joko Utami,user_0249@nusantaratech.io,Makassar,Standard,2025-02-27 15:09:00
USR-0250,Rina Prabowo,user_0250@nusantaratech.io,Medan,Platinum,2025-07-27 04:36:00
USR-0251,Rini Prabowo,user_0251@nusantaratech.io,Surabaya,Platinum,2025-05-04 19:14:00
USR-0252,Agus Utami,user_0252@nusantaratech.io,Jakarta,Silver,2025-08-14 22:32:00
USR-0253,Rini Prabowo,user_0253@nusantaratech.io,Medan,Gold,2025-10-14 01:27:00
USR-0254,Rina Lestari,user_0254@nusantaratech.io,Makassar,Platinum,2025-04-02 05:33:00
USR-0255,Andi Hidayat,user_0255@nusantaratech.io,Medan,Platinum,2025-11-01 11:32:00
USR-0256,Andi Kusuma,user_0256@nusantaratech.io,Yogyakarta,Gold,2025-03-22 01:34:00
USR-0257,Dewi Lestari,user_0257@nusantaratech.io,Semarang,Gold,2025-11-16 01:31:00
USR-0258,Joko Wijaya,user_0258@nusantaratech.io,Bandung,Standard,2025-02-15 15:26:00
USR-0259,Rini Siregar,user_0259@nusantaratech.io,Yogyakarta,Standard,2025-04-09 07:24:00
USR-0260,Joko Hidayat,user_0260@nusantaratech.io,Bandung,Platinum,2025-09-20 08:52:00
USR-0261,Siti Siregar,user_0261@nusantaratech.io,Medan,Standard,2025-07-06 06:46:00
USR-0262,Eko Kusuma,user_0262@nusantaratech.io,Makassar,Platinum,2025-03-23 22:55:00
USR-0263,Agus Utami,user_0263@nusantaratech.io,Bandung,Platinum,2025-06-26 10:39:00
USR-0264,Eko Santoso,user_0264@nusantaratech.io,Medan,Gold,2025-12-23 18:38:00
USR-0265,Rini Siregar,user_0265@nusantaratech.io,Medan,Platinum,2025-09-12 02:10:00
USR-0266,Eko Santoso,user_0266@nusantaratech.io,Semarang,Platinum,2025-11-06 02:21:00
USR-0267,Mega Siregar,user_0267@nusantaratech.io,Makassar,Platinum,2025-01-26 10:31:00
USR-0268,Rina Santoso,user_0268@nusantaratech.io,Bandung,Standard,2025-02-20 16:31:00
USR-0269,Dewi Prabowo,user_0269@nusantaratech.io,Makassar,Standard,2025-01-03 18:54:00
USR-0270,Eko Siregar,user_0270@nusantaratech.io,Makassar,Silver,2025-07-09 17:57:00
USR-0271,Agus Hidayat,user_0271@nusantaratech.io,Semarang,Gold,2025-01-13 13:10:00
USR-0272,Rina Hidayat,user_0272@nusantaratech.io,Makassar,Silver,2025-02-09 13:18:00
